No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
"1","NVDA","NVIDIA Corporation","4.57T","188.02","0.52%","187.14B"
"2","GOOG","Alphabet Inc.","4.02T","329.85","-0.99%","385.48B"
"3","GOOGL","Alphabet Inc.","3.97T","329.30","-1.05%","385.48B"
"4","AAPL","Apple Inc.","3.77T","256.44","-0.69%","416.16B"
"5","MSFT","Microsoft Corporation","3.44T","463.00","1.39%","293.81B"
"6","AMZN","Amazon.com, Inc.","2.55T","238.60","0.18%","691.33B"
"7","AVGO","Broadcom Inc.","1.64T","346.17","0.92%","63.89B"
"8","META","Meta Platforms, Inc.","1.58T","626.53","0.92%","189.46B"
"9","TSLA","Tesla, Inc.","1.46T","439.93","0.31%","95.63B"
"10","BRK.B","Berkshire Hathaway Inc.","1.06T","494.17","0.31%","372.13B"
"11","WMT","Walmart Inc.","943.39B","118.37","-0.70%","703.06B"
"12","LLY","Eli Lilly and Company","939.16B","1,048.90","1.54%","59.42B"
"13","JPM","JPMorgan Chase & Co.","849.55B","315.09","1.89%","168.24B"
"14","V","Visa Inc.","629.11B","328.99","0.38%","40.00B"
"15","ORCL","Oracle Corporation","549.63B","191.30","0.76%","61.02B"
"16","XOM","Exxon Mobil Corporation","547.60B","129.85","0.56%","326.25B"
"17","JNJ","Johnson & Johnson","526.61B","218.58","-0.45%","92.15B"
"18","MA","Mastercard Incorporated","486.92B","542.23","-0.08%","31.47B"
"19","COST","Costco Wholesale Corporation","424.34B","956.00","-0.08%","280.39B"
"20","PLTR","Palantir Technologies Inc.","409.09B","171.64","-3.07%","3.90B"
"21","NFLX","Netflix, Inc.","402.39B","88.06","0.01%","43.38B"
"22","MU","Micron Technology, Inc.","398.17B","353.77","5.09%","42.31B"
"23","BAC","Bank of America Corporation","383.92B","53.23","1.22%","107.42B"
"24","ABBV","AbbVie Inc.","379.95B","214.98","-0.82%","59.64B"
"25","HD","The Home Depot, Inc.","377.62B","379.32","0.04%","166.19B"
"26","AMD","Advanced Micro Devices, Inc.","376.73B","231.40","1.53%","32.03B"
"27","GE","GE Aerospace","342.68B","324.87","1.54%","43.95B"
"28","PG","The Procter & Gamble Company","336.58B","144.04","-0.41%","84.93B"
"29","CVX","Chevron Corporation","335.69B","166.72","0.34%","188.69B"
"30","MS","Morgan Stanley","303.43B","191.68","0.24%","70.30B"
"31","KO","The Coca-Cola Company","303.18B","70.48","-","47.66B"
"32","GS","The Goldman Sachs Group, Inc.","303.10B","966.16","-0.99%","59.40B"
"33","UNH","UnitedHealth Group Incorporated","301.93B","333.32","-1.66%","435.16B"
"34","CAT","Caterpillar Inc.","300.59B","642.31","-0.75%","64.67B"
"35","CSCO","Cisco Systems, Inc.","297.48B","75.29","0.05%","57.70B"
"36","IBM","International Business Machines Corporation","286.49B","306.49","2.87%","65.40B"
"37","LRCX","Lam Research Corporation","279.35B","222.41","2.27%","19.59B"
"38","WFC","Wells Fargo & Company","276.02B","89.25","0.33%","80.04B"
"39","MRK","Merck & Co., Inc.","271.63B","109.44","-1.38%","64.24B"
"40","RTX","RTX Corporation","270.51B","201.76","0.97%","85.99B"
"41","PM","Philip Morris International Inc.","269.80B","173.33","0.44%","39.99B"
"42","AMAT","Applied Materials, Inc.","258.04B","325.42","1.99%","28.37B"
"43","AXP","American Express Company","254.12B","368.91","3.23%","65.29B"
"44","INTC","Intel Corporation","235.58B","47.26","-2.19%","53.44B"
"45","TMO","Thermo Fisher Scientific Inc.","235.22B","626.07","0.23%","43.74B"
"46","MCD","McDonald's Corporation","218.73B","307.14","-0.48%","26.26B"
"47","CRM","Salesforce, Inc.","215.50B","229.99","-1.52%","40.32B"
"48","ABT","Abbott Laboratories","213.27B","122.65","-0.71%","43.84B"
"49","TMUS","T-Mobile US, Inc.","208.38B","186.30","-2.29%","85.85B"
"50","C","Citigroup Inc.","207.38B","118.67","1.03%","75.72B"
"51","KLAC","KLA Corporation","204.76B","1,558.41","0.87%","12.52B"
"52","LIN","Linde plc","204.76B","438.51","-0.35%","33.50B"
"53","BX","Blackstone Inc.","202.94B","165.10","2.67%","12.79B"
"54","PEP","PepsiCo, Inc.","202.33B","146.28","-0.20%","92.37B"
"55","DIS","The Walt Disney Company","199.58B","111.79","-1.43%","94.43B"
"56","APP","AppLovin Corporation","193.14B","571.50","-5.85%","6.31B"
"57","BLK","BlackRock, Inc.","190.92B","1,172.75","1.39%","24.22B"
"58","ISRG","Intuitive Surgical, Inc.","190.12B","536.31","-0.93%","9.61B"
"59","BA","The Boeing Company","188.36B","247.81","0.03%","80.76B"
"60","APH","Amphenol Corporation","187.00B","152.77","-0.94%","20.97B"
"61","SCHW","The Charles Schwab Corporation","186.33B","104.86","2.04%","22.91B"
"62","GEV","GE Vernova Inc.","184.73B","680.84","6.01%","37.67B"
"63","AMGN","Amgen Inc.","178.45B","331.39","0.41%","35.97B"
"64","ACN","Accenture plc","177.63B","288.69","0.32%","70.73B"
"65","UBER","Uber Technologies, Inc.","174.91B","84.18","-0.24%","49.61B"
"66","TJX","The TJX Companies, Inc.","174.75B","157.37","0.77%","58.98B"
"67","TXN","Texas Instruments Incorporated","174.41B","191.95","1.50%","17.27B"
"68","NEE","NextEra Energy, Inc.","174.29B","83.69","1.83%","26.30B"
"69","QCOM","QUALCOMM Incorporated","170.19B","160.10","-0.80%","44.28B"
"70","DHR","Danaher Corporation","167.62B","237.30","-1.08%","24.27B"
"71","BKNG","Booking Holdings Inc.","167.52B","5,197.12","0.08%","26.04B"
"72","T","AT&T Inc.","166.89B","23.54","-0.80%","124.48B"
"73","SPGI","S&P Global Inc.","165.80B","547.56","0.39%","15.01B"
"74","VZ","Verizon Communications Inc.","164.38B","38.99","-0.95%","137.49B"
"75","ANET","Arista Networks, Inc.","163.82B","130.09","-0.38%","8.45B"
"76","LOW","Lowe's Companies, Inc.","155.04B","276.38","-0.23%","84.26B"
