No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
"1","JPM","JPMorgan Chase & Co.","849.87B","315.21","1.92%","168.24B"
"2","BAC","Bank of America Corporation","383.45B","53.17","1.09%","107.42B"
"3","HSBC","HSBC Holdings plc","282.74B","82.62","-0.25%","57.98B"
"4","WFC","Wells Fargo & Company","274.78B","88.85","-0.12%","80.04B"
"5","RY","Royal Bank of Canada","237.18B","169.27","-0.04%","44.42B"
"6","MUFG","Mitsubishi UFJ Financial Group, Inc.","214.46B","18.87","1.29%","38.57B"
"7","C","Citigroup Inc.","207.36B","118.66","1.02%","75.72B"
"8","SAN","Banco Santander, S.A.","179.31B","12.17","0.50%","59.46B"
"9","HDB","HDFC Bank Limited","158.54B","32.56","0.14%","30.21B"
"10","TD","The Toronto-Dominion Bank","157.93B","93.99","-0.09%","45.15B"
"11","UBS","UBS Group AG","150.41B","47.36","-0.23%","48.19B"
"12","BBVA","Banco Bilbao Vizcaya Argentaria, S.A.","138.21B","24.28","0.77%","37.12B"
"13","SMFG","Sumitomo Mitsui Financial Group, Inc.","135.91B","21.29","-0.33%","23.14B"
"14","IBN","ICICI Bank Limited","111.21B","31.06","0.76%","21.49B"
"15","MFG","Mizuho Financial Group, Inc.","107.05B","8.60","1.24%","26.75B"
"16","BMO","Bank of Montreal","96.11B","136.67","1.34%","23.30B"
"17","BNS","The Bank of Nova Scotia","90.90B","73.44","-0.15%","22.58B"
"18","BCS","Barclays PLC","89.11B","26.22","1.24%","34.97B"
"19","PNC","The PNC Financial Services Group, Inc.","87.62B","223.42","3.90%","22.32B"
"20","CM","Canadian Imperial Bank of Commerce","85.25B","92.56","0.56%","19.12B"
"21","USB","U.S. Bancorp","85.05B","54.72","1.42%","26.01B"
"22","BK","The Bank of New York Mellon Corporation","84.33B","122.53","-1.16%","20.11B"
"23","ING","ING Groep N.V.","84.13B","28.98","0.21%","23.51B"
"24","LYG","Lloyds Banking Group plc","80.44B","5.49","0.09%","24.11B"
"25","NU","Nu Holdings Ltd.","80.44B","16.60","-0.06%","6.36B"
"26","ITUB","Itaú Unibanco Holding S.A.","79.00B","7.39","-0.74%","25.40B"
"27","DB","Deutsche Bank Aktiengesellschaft","74.16B","39.00","0.33%","35.03B"
"28","NWG","NatWest Group plc","69.79B","17.54","2.30%","20.89B"
"29","TFC","Truist Financial Corporation","64.14B","50.14","-0.28%","18.28B"
"30","BBD","Banco Bradesco S.A.","34.48B","3.535","0.71%","16.51B"
"31","FITB","Fifth Third Bancorp","32.61B","49.33","0.63%","8.13B"
"32","MTB","M&T Bank Corporation","32.49B","211.40","-0.55%","9.19B"
"33","KB","KB Financial Group Inc.","31.48B","88.93","-0.17%","10.60B"
"34","HBAN","Huntington Bancshares Incorporated","28.18B","17.97","0.11%","7.50B"
"35","FCNCA","First Citizens BancShares, Inc.","26.93B","2,165.46","0.25%","8.90B"
"36","CFG","Citizens Financial Group, Inc.","26.19B","60.98","0.61%","7.44B"
"37","SHG","Shinhan Financial Group Co., Ltd.","25.88B","53.87","-0.43%","10.72B"
"38","BAP","Credicorp Ltd.","25.45B","320.69","0.60%","5.90B"
"39","RF","Regions Financial Corporation","24.27B","27.68","-2.95%","7.06B"
"40","BSBR","Banco Santander (Brasil) S.A.","23.06B","6.16","-0.32%","8.33B"
"41","KEY","KeyCorp","23.00B","21.18","-0.24%","5.93B"
"42","BCH","Banco de Chile","20.22B","39.74","-0.10%","2.94B"
"43","CIB","Grupo Cibest S.A.","19.10B","75.28","1.95%","6.29B"
"44","EWBC","East West Bancorp, Inc.","15.78B","114.70","-0.92%","2.57B"
"45","BSAC","Banco Santander-Chile","15.36B","33.03","2.39%","2.56B"
"46","WF","Woori Financial Group Inc.","13.89B","57.22","-0.88%","8.05B"
"47","FHN","First Horizon Corporation","11.78B","24.29","-0.61%","3.36B"
"48","CMA","Comerica Incorporated","11.74B","91.90","0.43%","3.23B"
"49","WBS","Webster Financial Corporation","10.42B","64.63","0.34%","2.58B"
"50","SSB","SouthState Bank Corporation","9.94B","98.86","-0.13%","2.32B"
"51","WTFC","Wintrust Financial Corporation","9.77B","145.90","-0.34%","2.56B"
"52","WAL","Western Alliance Bancorporation","9.66B","88.93","-1.00%","3.19B"
"53","UMBF","UMB Financial Corporation","9.30B","122.50","-0.65%","2.22B"
"54","ONB","Old National Bancorp","9.12B","23.35","0.24%","2.11B"
"55","CFR","Cullen/Frost Bankers, Inc.","8.85B","138.39","-0.54%","2.14B"
