Symbol,Name,Column 3,Price,Change,Change %,Market Cap,Volume,Volume In Currency (24hr),Total Volume All Currencies (24hr),Circulating Supply,52 Wk Change %,52 Wk Range
"BTC-USD","Bitcoin USD","","95,222.62 +0.02 (+0.13%)","-158.69","-0.17%","1.902T","16.344B","16.341B","16.341B","19.978M","-5.93%","74,436.68 126,198.07"
"ETH-USD","Ethereum USD","","3,335.60 -4.46 (-0.06%)","+11.90","+0.36%","402.589B","10.656B","10.657B","10.657B","120.695M","+3.11%","1,386.80 4,953.73"
"USDT-USD","Tether USDt USD","","1.00 -83.11 (-0.17%)","0.00","-0.00%","186.916B","46.616B","46.648B","46.648B","186.993B","+0.05%","1.00 1.01"
"BNB-USD","BNB USD","","949.95 -14.63 (-0.06%)","-2.69","-0.28%","129.536B","1.762B","1.762B","1.762B","136.361M","+38.82%","509.84 1,370.55"
"XRP-USD","XRP USD","","2.05 -1.75 (-0.01%)","-0.02","-1.18%","124.685B","1.270B","1.27B","1.27B","60.789B","-30.20%","1.53 3.65"
"SOL-USD","Solana USD","","141.97 +86.36 (+1.15%)","-1.99","-1.38%","80.277B","2.171B","2.172B","2.172B","565.462M","-42.64%","96.59 294.33"
"USDC-USD","USD Coin USD","","1.00 -2.16 (-0.21%)","-0.00","-0.00%","75.973B","6.201B","6.197B","6.197B","75.987B","-0.08%","1.00 1.00"
"TRX-USD","TRON USD","","0.32 +3.18 (+0.12%)","+0.00","+1.12%","30.159B","613.895M","613.895M","613.895M","94.708B","+39.59%","0.20 0.37"
"STETH-USD","Lido Staked ETH USD","","3,334.17 -3.65 (-0.04%)","+10.96","+0.33%","29.98B","9.420M","9.412M","9.412M","8.991M","+3.08%","1,390.95 4,939.70"
"WTRX-USD","Wrapped TRON USD","","0.32 -55.26 (-0.22%)","+0.00","+1.36%","27.832B","2.619M","2.627M","2.627M","87.423B","+39.29%","0.21 0.37"
"DOGE-USD","Dogecoin USD","","0.14 -54.18 (-0.65%)","-0.00","-1.65%","23.003B","543.324M","543.327M","543.327M","168.371B","-61.48%","0.11 0.41"
"ADA-USD","Cardano USD","","0.39 -11.69 (-0.19%)","-0.01","-2.38%","14.071B","333.373M","333.373M","333.373M","35.961B","-59.98%","0.33 1.15"
"WSTETH-USD","Lido wstETH USD","","4,077.34 -2.67 (-0.15%)","+21.40","+0.53%","13.947B","2.399M","2.399M","2.399M","3.418M","+5.95%","1,697.57 5,962.78"
"WBETH-USD","Wrapped Beacon ETH USD","","3,629.78 +7.08 (+0.13%)","+15.95","+0.44%","12.213B","16.411M","16.408M","16.408M","3.365M","+6.09%","767.51 5,333.27"
"WBTC-USD","Wrapped Bitcoin USD","","94,970.65 -0.11 (-0.13%)","-166.84","-0.18%","11.903B","64.246M","64.246M","64.246M","125,330","-6.16%","74,486.36 125,777.45"
"BCH-USD","Bitcoin Cash USD","","590.48 -78.66 (-0.29%)","-2.47","-0.42%","11.799B","215.027M","215.032M","215.032M","19.982M","+39.30%","250.79 668.06"
"WETH-USD","WETH USD","","3,332.75 +15.76 (+0.33%)","+12.83","+0.39%","11.249B","550.41M","550.41M","550.41M","3.375M","+1.01%","1,418.49 4,939.42"
"AETHWETH-USD","Aave Ethereum WETH USD","","3,335.58 +42.20 (+0.48%)","+11.66","+0.35%","10.924B","5,783","5,783","5,783","3.275M","+32.59%","2,116.12 4,953.37"
"XMR-USD","Monero USD","","593.13 +42.50 (+0.46%)","-25.78","-4.16%","10.902B","342.773M","342.773M","342.773M","18.447M","+187.70%","185.38 798.91"
"WEETH-USD","Wrapped eETH USD","","3,619.19 +187.64 (+0.23%)","+18.94","+0.53%","10.731B","6.153M","6.16M","6.16M","2.965M","+3.49%","1,500.47 5,298.91"
"LINK-USD","Chainlink USD","","13.76 +42.82 (+0.47%)","-0.05","-0.36%","9.748B","248.164M","248.164M","248.164M","708.1M","-43.36%","10.18 27.74"
"USDS33039-USD","USDS USD","","1.00 -2.42 (-0.14%)","-0.00","-0.00%","9.695B","7.352M","7.311M","7.311M","9.699B","-0.48%","0.97 1.21"
"LEO-USD","UNUS SED LEO USD","","9.08 +58.31 (+0.43%)","+0.06","+0.64%","8.369B","725.827k","721,856","721,856","921.693M","-6.16%","6.21 10.01"
"HYPE32196-USD","Hyperliquid USD","","25.72 +43.19 (+0.90%)","+0.19","+0.74%","7.771B","102.776M","102.762M","102.762M","302.072M","+25.31%","9.37 59.39"
"XLM-USD","Stellar USD","","0.23 +598.12 (+1.94%)","-0.01","-2.91%","7.299B","128.541M","128.541M","128.541M","32.416B","-46.74%","0.20 0.52"
"CBBTC32994-USD","Coinbase Wrapped BTC USD","","95,154.23 -131.53 (-0.14%)","-126.50","-0.13%","6.993B","108.363M","108.363M","108.363M","73,490","-8.05%","74,394.22 125,739.63"
"SUI20947-USD","Sui USD","","1.77 -0.02 (-1.21%)","-0.02","-1.21%","6.72B","314.147M","314.147M","314.147M","3.792B","-60.33%","0.95 5.01"
"USDE29470-USD","Ethena USDe USD","","1.00 -0.00 (-0.00%)","-0.00","-0.01%","6.471B","152.222M","152.222M","152.222M","6.472B","+0.17%","0.99 1.00"
