No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
"1","NVDA","NVIDIA Corporation","4.57T","188.01","0.51%","187.14B"
"2","AAPL","Apple Inc.","3.77T","256.64","-0.61%","416.16B"
"3","MSFT","Microsoft Corporation","3.44T","462.25","1.22%","293.81B"
"4","AMZN","Amazon.com, Inc.","2.55T","238.60","0.18%","691.33B"
"5","WMT","Walmart Inc.","943.19B","118.34","-0.72%","703.06B"
"6","JPM","JPMorgan Chase & Co.","849.01B","314.89","1.82%","168.24B"
"7","V","Visa Inc.","629.24B","329.06","0.40%","40.00B"
"8","JNJ","Johnson & Johnson","526.48B","218.52","-0.48%","92.15B"
"9","HD","The Home Depot, Inc.","377.38B","379.08","-0.02%","166.19B"
"10","PG","The Procter & Gamble Company","336.23B","143.89","-0.51%","84.93B"
"11","CVX","Chevron Corporation","335.37B","166.56","0.24%","188.69B"
"12","GS","The Goldman Sachs Group, Inc.","303.26B","966.67","-0.94%","59.40B"
"13","KO","The Coca-Cola Company","302.75B","70.38","-0.14%","47.66B"
"14","UNH","UnitedHealth Group Incorporated","301.54B","332.88","-1.79%","435.16B"
"15","CAT","Caterpillar Inc.","300.60B","642.34","-0.75%","64.67B"
"16","CSCO","Cisco Systems, Inc.","297.24B","75.23","-0.03%","57.70B"
"17","IBM","International Business Machines Corporation","286.80B","306.82","2.98%","65.40B"
"18","MRK","Merck & Co., Inc.","271.53B","109.40","-1.41%","64.24B"
"19","AXP","American Express Company","254.00B","368.73","3.18%","65.29B"
"20","MCD","McDonald's Corporation","218.62B","306.99","-0.53%","26.26B"
"21","CRM","Salesforce, Inc.","215.21B","229.68","-1.65%","40.32B"
"22","DIS","The Walt Disney Company","199.38B","111.68","-1.53%","94.43B"
"23","BA","The Boeing Company","188.20B","247.60","-0.06%","80.76B"
"24","AMGN","Amgen Inc.","178.38B","331.27","0.38%","35.97B"
"25","VZ","Verizon Communications Inc.","164.34B","38.98","-0.98%","137.49B"
"26","HON","Honeywell International Inc.","139.44B","219.63","2.14%","40.67B"
"27","NKE","NIKE, Inc.","94.74B","64.00","-0.91%","46.51B"
"28","MMM","3M Company","90.50B","170.37","-0.43%","24.83B"
"29","SHW","The Sherwin-Williams Company","87.77B","356.11","-0.01%","23.28B"
"30","TRV","The Travelers Companies, Inc.","60.14B","269.63","-0.63%","48.40B"
