Symbol,Fund Name,Asset Class,Assets
"AAA","Alternative Access First Priority CLO Bond ETF","Fixed Income","42.50M"
"AAAA","Amplius Aggressive Asset Allocation ETF","Asset Allocation","250.46M"
"AAAC","Columbia AAA CLO ETF","Fixed Income","-"
"AAAU","Goldman Sachs Physical Gold ETF","Commodity","2.74B"
"AADR","AdvisorShares Dorsey Wright ADR ETF","Equity","50.19M"
"AAEQ","Alpha Architect US Equity 2 ETF","Equity","481.03M"
"AALG","Leverage Shares 2X Long AAL Daily ETF","Equity","1.76M"
"AAPB","GraniteShares 2x Long AAPL Daily ETF","Equity","25.90M"
"AAPD","Direxion Daily AAPL Bear 1X Shares ETF","Equity","19.48M"
"AAPR","Innovator 2 Yr to April 2026","Alternatives","56.99M"
"AAPU","Direxion Daily AAPL Bull 2X Shares","Equity","168.20M"
"AAPW","Roundhill AAPL WeeklyPay ETF","Equity","35.38M"
"AAPX","T-Rex 2X Long Apple Daily Target ETF","Equity","9.22M"
"AAPY","Kurv Yield Premium Strategy Apple (AAPL) ETF","Equity","5.01M"
"AAUM","Tema Alternative Asset Managers ETF","Equity","2.51M"
"AAUS","Alpha Architect US Equity ETF","Equity","495.83M"
"AAVM","Alpha Architect Global Factor Equity ETF","Equity","20.51M"
"AAXJ","iShares MSCI All Country Asia ex Japan ETF","Equity","3.22B"
"ABCS","Alpha Blue Capital US Small-Mid Cap Dynamic ETF","Equity","10.94M"
"ABEQ","Absolute Select Value ETF","Equity","125.46M"
"ABFL","Abacus FCF Leaders ETF","Equity","791.09M"
"ABI","VictoryShares Pioneer Asset-Based Income ETF","Fixed Income","56.60M"
"ABIG","Argent Large Cap ETF","Equity","47.51M"
"ABLD","Abacus FCF Real Assets Leaders ETF","Equity","41.13M"
"ABLG","Abacus FCF International Leaders ETF","Equity","31.64M"
"ABLS","Abacus FCF Small Cap Leaders ETF","Equity","1.02M"
"ABNG","Leverage Shares 2x Long ABNB Daily ETF","Equity","480.10K"
"ABNY","YieldMax ABNB Option Income Strategy ETF","Equity","24.33M"
"ABOT","Abacus FCF Innovation Leaders ETF","Equity","4.85M"
"ABXB","Abacus Flexible Bond Leaders ETF","Fixed Income","1.96M"
"ACEI","Innovator Equity Autocallable Income Strategy ETF","Alternatives","17.64M"
"ACEP","ARS Core Equity Portfolio ETF","Equity","84.73M"
"ACES","ALPS Clean Energy ETF","Equity","116.49M"
"ACGR","American Century Large Cap Growth ETF","Equity","16.56M"
"ACIO","Aptus Collared Investment Opportunity ETF","Equity","2.24B"
"ACKY","VistaShares Target 15 ACKtivist Distribution ETF","Equity","52.48M"
"ACLC","American Century Large Cap Equity ETF","Equity","282.10M"
"ACLO","TCW AAA CLO ETF","Fixed Income","319.05M"
"ACSG","American Century Small Cap Growth Insights ETF","Equity","7.00M"
"ACSI","American Customer Satisfaction ETF","Equity","105.49M"
"ACSV","American Century Small Cap Value Insights ETF","Equity","6.90M"
"ACVF","American Conservative Values ETF","Equity","139.83M"
"ACVT","Advent Convertible Bond ETF","Fixed Income","28.37M"
"ACWI","iShares MSCI ACWI ETF","Equity","26.37B"
"ACWV","iShares MSCI Global Min Vol Factor ETF","Equity","3.32B"
"ACWX","iShares MSCI ACWI ex U.S. ETF","Equity","8.45B"
"ADBG","Leverage Shares 2X Long ADBE Daily ETF","Equity","27.35M"
"ADFI","Anfield Dynamic Fixed Income ETF","Fixed Income","46.82M"
"ADIV","Guinness Atkinson Asia Pacific Dividend Builder ETF","Equity","32.19M"
"ADME","Aptus Drawdown Managed Equity ETF","Equity","249.62M"
"ADPV","Adaptiv Select ETF","Equity","172.07M"
"ADVE","Matthews Asia Dividend Active ETF","Equity","6.05M"
"AEMS","Anfield Enhanced Market ETF","Equity","127.75M"
"AESR","Anfield U.S. Equity Sector Rotation ETF","Equity","139.48M"
"AETH","Bitwise Trendwise Ether and Treasuries Rotation Strategy ETF","Currency","9.27M"
"AFIF","Anfield Universal Fixed Income ETF","Fixed Income","206.97M"
"AFIX","Allspring Broad Market Core Bond ETF","Fixed Income","178.67M"
"AFK","VanEck Africa Index ETF","Equity","125.42M"
"AFLG","First Trust Active Factor Large Cap ETF","Equity","475.62M"
"AFMC","First Trust Active Factor Mid Cap ETF","Equity","104.30M"
"AFOS","ARS Focused Opportunity Strategy ETF","Equity","224.17M"
"AFRU","T-REX 2X Long AFRM Daily Target ETF","Equity","2.56M"
"AFSC","abrdn Focused U.S. Small Cap Active ETF","Equity","12.32M"
"AFSM","First Trust Active Factor Small Cap ETF","Equity","73.42M"
"AGEM","abrdn Emerging Markets Dividend Active ETF","Equity","222.93M"
"AGG","iShares Core U.S. Aggregate Bond ETF","Fixed Income","136.75B"
"AGGA","EA Astoria Dynamic Core US Fixed Income ETF","Fixed Income","70.99M"
"AGGH","Simplify Aggregate Bond ETF","Fixed Income","322.27M"
"AGGS","Harbor Disciplined Bond ETF","Fixed Income","37.17M"
"AGGY","WisdomTree Yield Enhanced U.S. Aggregate Bond Fund","Fixed Income","874.17M"
"AGIQ","SoFi Agentic AI ETF","Equity","11.23M"
"AGIX","KraneShares Artificial Intelligence & Technology ETF","Equity","149.91M"
"AGMI","Themes Silver Miners ETF","Equity","10.25M"
"AGNG","Global X Aging Population ETF","Equity","77.92M"
"AGOX","Adaptive Alpha Opportunities ETF","Asset Allocation","362.77M"
"AGQ","ProShares Ultra Silver","Commodity","3.09B"
"AGQI","First Trust Active Global Quality Income ETF","Equity","57.97M"
"AGRH","iShares Interest Rate Hedged U.S. Aggregate Bond ETF","Fixed Income","5.26M"
"AGRW","Allspring LT Large Growth ETF","Equity","130.43M"
"AGZ","iShares Agency Bond ETF","Fixed Income","572.63M"
"AGZD","WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund","Fixed Income","94.73M"
"AHLT","American Beacon AHL Trend ETF","Asset Allocation","51.97M"
"AHYB","American Century Select High Yield ETF","Fixed Income","58.54M"
"AIA","iShares Asia 50 ETF","Equity","2.11B"
"AIBD","Direxion Daily AI and Big Data Bear 2X Shares","Equity","5.75M"
"AIBU","Direxion Daily AI and Big Data Bull 2X Shares","Equity","33.50M"
"AIEQ","Amplify AI Powered Equity ETF","Equity","119.11M"
"AIFD","TCW Artificial Intelligence ETF","Equity","87.27M"
"AINP","Allspring Income Plus ETF","Fixed Income","202.15M"
"AIOO","AllianzIM U.S. Equity Buffer100 Protection ETF","Alternatives","28.33M"
"AIPI","REX AI Equity Premium Income ETF","Equity","407.88M"
"AIPO","Defiance AI & Power Infrastructure ETF","Equity","136.19M"
"AIQ","Global X Artificial Intelligence & Technology ETF","Equity","7.88B"
"AIRR","First Trust RBA American Industrial Renaissance ETF","Equity","7.49B"
"AIS","VistaShares Artificial Intelligence Supercycle ETF","Equity","127.14M"
"AIVC","Amplify Bloomberg AI Value Chain ETF","Equity","35.44M"
"AIVI","WisdomTree International AI Enhanced Value Fund","Equity","57.63M"
"AIVL","WisdomTree U.S. AI Enhanced Value Fund","Equity","386.25M"
"AIYY","YieldMax AI Option Income Strategy ETF","Equity","54.26M"
"AJAN","Innovator 2 Yr to January 2028","Alternatives","43.36M"
"AJUL","Innovator 2 Yr to July 2026","Alternatives","59.84M"
"AKAF","Frontier Economic Fund","Equity","2.78M"
"AKRE","Akre Focus ETF","Equity","9.50B"
"ALAI","Alger AI Enablers & Adopters ETF","Equity","300.73M"
"ALBG","Themes ETF Trust - Leverage Shares 2X Long ALB Daily ETF","-","-"
"ALIL","Argent Focused Small Cap ETF","Equity","22.74M"
"ALLW","SPDR Bridgewater All Weather ETF","Asset Allocation","730.34M"
"ALRG","Allspring LT Large Core ETF","Equity","7.07M"
"ALTL","Pacer Lunt Large Cap Alternator ETF","Equity","99.53M"
"ALTY","Global X Alternative Income ETF","Asset Allocation","43.13M"
"AMAX","Adaptive Hedged Multi-Asset Income ETF","Asset Allocation","46.15M"
"AMDD","Direxion Daily AMD Bear 1X Shares","Equity","9.28M"
"AMDG","Leverage Shares 2X Long AMD Daily ETF","Equity","16.78M"
"AMDL","GraniteShares 2x Long AMD Daily ETF","Equity","607.33M"
"AMDU","Defiance Leveraged Long + Income AMD ETF","Equity","4.26M"
"AMDW","Roundhill AMD WeeklyPay ETF","Equity","54.47M"
"AMDY","YieldMax AMD Option Income Strategy ETF","Equity","177.90M"
"AMID","Argent Mid Cap ETF","Equity","106.59M"
"AMLP","Alerian MLP ETF","Equity","10.94B"
"AMOM","QRAFT AI-Enhanced U.S. Large Cap Momentum ETF","Equity","26.61M"
"AMUN","Abrdn Ultra Short Muncipal Income Active ETF","Fixed Income","29.76M"
"AMUU","Direxion Daily AMD Bull 2X Shares ETF","Equity","48.87M"
"AMYY","GraniteShares YieldBOOST AMD ETF","Equity","12.24M"
"AMZA","InfraCap MLP ETF","Equity","394.47M"
"AMZD","Direxion Daily AMZN Bear 1X Shares ETF","Equity","3.30M"
"AMZP","Kurv Yield Prem Strategy Amazon ETF","Equity","15.82M"
"AMZU","Direxion Daily AMZN Bull 2X Shares","Equity","342.52M"
"AMZW","Roundhill AMZN WeeklyPay ETF","Equity","39.00M"
"AMZY","YieldMax AMZN Option Income Strategy ETF","Equity","274.65M"
"AMZZ","GraniteShares 2x Long AMZN Daily ETF","Equity","62.19M"
"ANEL","Defiance Daily Target 2x Long ANET ETF","Equity","6.61M"
"ANEW","ProShares MSCI Transformational Changes ETF","Equity","7.73M"
"ANGL","VanEck Fallen Angel High Yield Bond ETF","Fixed Income","3.13B"
"AOA","iShares Core 80/20 Aggressive Allocation ETF","Asset Allocation","2.81B"
"AOCT","Innovator 2 Yr to October 2026","Alternatives","71.32M"
"AOHY","Angel Oak High Yield Opportunities ETF","Fixed Income","122.57M"
"AOK","iShares Core 30/70 Conservative Allocation ETF","Asset Allocation","743.94M"
"AOM","iShares Core 40/60 Moderate Allocation ETF","Asset Allocation","1.72B"
"AOR","iShares Core 60/40 Balanced Allocation ETF","Asset Allocation","3.18B"
"AOTG","AOT Growth and Innovation ETF","Equity","90.99M"
"AOTS","AOT Software Platform ETF","Equity","3.69M"
"APCB","ActivePassive Core Bond ETF","Fixed Income","903.35M"
"APIE","ActivePassive International Equity ETF","Equity","978.55M"
"APLU","Allspring Core Plus ETF","Fixed Income","342.38M"
"APLX","Tradr 2X Long APLD Daily ETF","Equity","73.72M"
"APLY","YieldMax AAPL Option Income Strategy ETF","Equity","129.66M"
"APMU","ActivePassive Intermediate Municipal Bond ETF","Fixed Income","206.84M"
"APOC","Innovator 6mo Apr/Oct","Alternatives","118.98M"
"APPX","Tradr 2X Long APP Daily ETF","Equity","75.88M"
"APRB","Aptus April Buffer ETF","Alternatives","14.19M"
"APRH","Innovator Premium Income 20 Barrier ETF - April","Alternatives","24.13M"
"APRJ","Innovator Premium Income 30 Barrier ETF - April","Alternatives","32.69M"
"APRP","PGIM S&P 500 Buffer 12 ETF - April","Alternatives","13.71M"
"APRT","AllianzIM U.S. Equity Buffer10 Apr ETF","Alternatives","41.82M"
"APRW","AllianzIM U.S. Equity Buffer20 Apr ETF","Alternatives","169.66M"
