No.,Symbol,Company Name,Stock Price,% Change,Div. Yield,Assets
"1","VITSX","Vanguard Total Stock Market Index Fund Institutional Shares","166.43","-0.04%","1.10%","2.06T"
"2","VSMPX","Vanguard Total Stock Market Index Fund Institutional Plus Shares","312.21","-0.04%","1.11%","2.06T"
"3","VSTSX","Vanguard Total Stock Market Index Fund Institutional Select Shares","327.69","-0.04%","1.11%","2.06T"
"4","VTSAX","Vanguard Total Stock Market Index Fund Admiral Shares","166.41","-0.04%","1.09%","2.06T"
"5","VTSMX","Vanguard Total Stock Market Index Fund Investor Shares","166.37","-0.04%","1.00%","2.06T"
"6","VFFSX","Vanguard 500 Index Institutional Select Shares","339.83","-0.06%","1.12%","1.47T"
"7","VFIAX","Vanguard 500 Index Fund Admiral Shares","640.92","-0.06%","1.10%","1.47T"
"8","VFINX","Vanguard 500 Index Fund Investor Shares","641.00","-0.06%","1.01%","1.47T"
"9","FXAIX","Fidelity 500 Index Fund","241.14","-0.06%","1.10%","740.02B"
"10","VGTSX","Vanguard Total International Stock Index Fund Investor Shares","25.25","-","2.95%","573.72B"
"11","VTIAX","Vanguard Total International Stock Index Fund Admiral Shares","42.24","0.02%","3.02%","573.72B"
"12","VTISX","Vanguard Instl Total International Index Trust","177.96","0.02%","3.06%","573.72B"
"13","VTPSX","Vanguard Total International Stock Index Fund Institutional Plus Shares","168.95","0.02%","3.05%","573.72B"
"14","VTSNX","Vanguard Total International Stock Index Fund Institutional Shares","168.91","0.02%","3.04%","573.72B"
"15","VBMFX","Vanguard Total Bond Market Index Fund Investor Shares","9.76","-0.31%","3.76%","384.63B"
"16","VBMPX","Vanguard Total Bond Market Index Fund Institutional Plus Shares","9.76","-0.31%","3.89%","384.63B"
"17","VBTIX","Vanguard Total Bond Market Index Fund Institutional Shares","9.76","-0.31%","3.88%","384.63B"
"18","VBTLX","Vanguard Total Bond Market Index Fund Admiral Shares","9.76","-0.31%","3.86%","384.63B"
"19","VTBSX","Vanguard Instl Total Bond Market Index Trust","9.76","-0.31%","3.90%","384.63B"
"20","VIGAX","Vanguard Growth Index Fund Admiral Shares","249.74","-0.07%","0.41%","352.38B"
"21","VIGIX","Vanguard Growth Index Fund Institutional Shares","249.76","-0.07%","0.41%","352.38B"
