No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
"1","NVDA","NVIDIA Corporation","4.53T","186.23","-0.44%","187.14B"
"2","GOOG","Alphabet Inc.","3.98T","330.34","-0.85%","385.48B"
"3","GOOGL","Alphabet Inc.","3.98T","330.00","-0.84%","385.48B"
"4","AAPL","Apple Inc.","3.76T","255.53","-1.04%","416.16B"
"5","MSFT","Microsoft Corporation","3.42T","459.86","0.70%","293.81B"
"6","AMZN","Amazon.com, Inc.","2.56T","239.12","0.39%","691.33B"
"7","AVGO","Broadcom Inc.","1.67T","351.71","2.53%","63.89B"
"8","META","Meta Platforms, Inc.","1.56T","620.25","-0.09%","189.46B"
"9","TSLA","Tesla, Inc.","1.46T","437.50","-0.24%","95.63B"
"10","ASML","ASML Holding N.V.","522.87B","1,358.57","2.03%","37.67B"
"11","COST","Costco Wholesale Corporation","427.72B","963.61","0.72%","280.39B"
"12","MU","Micron Technology, Inc.","408.28B","362.75","7.76%","42.31B"
"13","PLTR","Palantir Technologies Inc.","407.47B","170.96","-3.45%","3.90B"
"14","NFLX","Netflix, Inc.","402.12B","88.00","-0.06%","43.38B"
"15","AMD","Advanced Micro Devices, Inc.","377.43B","231.83","1.72%","32.03B"
"16","CSCO","Cisco Systems, Inc.","297.08B","75.19","-0.08%","57.70B"
"17","AZN","AstraZeneca PLC","291.69B","94.39","0.43%","58.13B"
"18","LRCX","Lam Research Corporation","280.04B","222.96","2.52%","19.59B"
"19","AMAT","Applied Materials, Inc.","259.30B","327.01","2.49%","28.37B"
"20","INTC","Intel Corporation","234.09B","46.96","-2.81%","53.44B"
"21","TMUS","T-Mobile US, Inc.","208.40B","186.32","-2.28%","85.85B"
"22","KLAC","KLA Corporation","206.00B","1,567.82","1.48%","12.52B"
"23","LIN","Linde plc","204.97B","438.96","-0.25%","33.50B"
"24","SHOP","Shopify Inc.","202.84B","155.81","-1.38%","10.70B"
"25","PEP","PepsiCo, Inc.","202.39B","146.32","-0.17%","92.37B"
"26","APP","AppLovin Corporation","192.22B","568.76","-6.30%","6.31B"
"27","ISRG","Intuitive Surgical, Inc.","189.66B","535.00","-1.17%","9.61B"
"28","AMGN","Amgen Inc.","177.92B","330.41","0.12%","35.97B"
"29","TXN","Texas Instruments Incorporated","174.07B","191.58","1.30%","17.27B"
"30","QCOM","QUALCOMM Incorporated","169.47B","159.42","-1.22%","44.28B"
"31","BKNG","Booking Holdings Inc.","164.91B","5,115.91","-1.49%","26.04B"
"32","GILD","Gilead Sciences, Inc.","154.97B","124.91","3.01%","29.09B"
"33","INTU","Intuit Inc.","151.74B","545.29","-1.68%","19.43B"
"34","PDD","PDD Holdings Inc.","151.56B","106.76","-0.65%","58.79B"
"35","ADI","Analog Devices, Inc.","147.02B","300.25","-0.61%","11.02B"
"36","HON","Honeywell International Inc.","139.29B","219.39","2.03%","40.67B"
"37","PANW","Palo Alto Networks, Inc.","130.80B","187.66","-0.04%","9.56B"
"38","ADBE","Adobe Inc.","123.96B","296.12","-2.62%","23.77B"
"39","CRWD","CrowdStrike Holdings, Inc.","114.42B","453.88","-0.25%","4.57B"
"40","ARM","Arm Holdings plc","112.23B","105.78","0.64%","4.41B"
"41","VRTX","Vertex Pharmaceuticals Incorporated","111.98B","441.36","0.56%","11.72B"
"42","CEG","Constellation Energy Corporation","111.50B","307.71","-9.82%","24.84B"
"43","SBUX","Starbucks Corporation","105.74B","92.99","-0.31%","37.18B"
"44","ADP","Automatic Data Processing, Inc.","105.33B","260.44","0.09%","20.90B"
"45","MELI","MercadoLibre, Inc.","105.20B","2,075.01","-1.14%","26.19B"
"46","CMCSA","Comcast Corporation","101.37B","27.82","-1.87%","123.31B"
"47","SNPS","Synopsys, Inc.","98.78B","516.31","1.60%","7.05B"
"48","DASH","DoorDash, Inc.","88.49B","205.32","-2.28%","12.64B"
"49","MAR","Marriott International, Inc.","87.45B","325.88","0.03%","6.87B"
"50","CDNS","Cadence Design Systems, Inc.","86.41B","317.45","-0.98%","5.21B"
"51","ORLY","O'Reilly Automotive, Inc.","79.94B","94.70","1.13%","17.46B"
"52","ABNB","Airbnb, Inc.","79.23B","130.66","-1.46%","11.94B"
"53","CTAS","Cintas Corporation","78.15B","195.42","-0.08%","10.79B"
"54","MNST","Monster Beverage Corporation","76.37B","78.17","0.33%","7.98B"
"55","REGN","Regeneron Pharmaceuticals, Inc.","75.21B","733.04","-1.20%","14.25B"
"56","MDLZ","Mondelez International, Inc.","73.86B","57.24","-0.10%","37.65B"
"57","WBD","Warner Bros. Discovery, Inc.","70.86B","28.58","0.32%","37.86B"
"58","MRVL","Marvell Technology, Inc.","68.24B","80.46","0.10%","7.79B"
"59","CSX","CSX Corporation","67.50B","36.25","-0.14%","14.12B"
"60","AEP","American Electric Power Company, Inc.","64.07B","119.96","0.47%","21.26B"
"61","PCAR","PACCAR Inc","63.74B","121.36","-0.46%","29.53B"
"62","ROST","Ross Stores, Inc.","62.22B","192.36","-0.74%","22.03B"
"63","NXPI","NXP Semiconductors N.V.","59.67B","237.11","-0.62%","12.05B"
"64","IDXX","IDEXX Laboratories, Inc.","57.12B","715.37","0.46%","4.17B"
"65","ADSK","Autodesk, Inc.","56.22B","265.69","1.31%","6.89B"
"66","FTNT","Fortinet, Inc.","56.06B","75.38","-1.23%","6.55B"
"67","TRI","Thomson Reuters Corporation","55.38B","124.02","-0.66%","7.38B"
"68","MSTR","Strategy Inc","54.07B","173.71","1.64%","474.94M"
"69","PYPL","PayPal Holdings, Inc.","53.23B","56.89","0.26%","32.86B"
"70","BKR","Baker Hughes Company","51.07B","51.75","-0.48%","27.71B"
"71","EA","Electronic Arts Inc.","50.94B","204.25","0.05%","7.29B"
"72","AXON","Axon Enterprise, Inc.","50.53B","636.04","-0.18%","2.56B"
"73","FAST","Fastenal Company","50.22B","43.74","0.48%","8.00B"
"74","WDAY","Workday, Inc.","49.14B","186.86","-3.04%","9.23B"
"75","EXC","Exelon Corporation","45.19B","44.73","1.31%","24.32B"
"76","ROP","Roper Technologies, Inc.","44.79B","416.14","0.46%","7.72B"
"77","XEL","Xcel Energy Inc.","44.73B","75.61","0.33%","14.23B"
"78","TTWO","Take-Two Interactive Software, Inc.","44.37B","240.14","-1.72%","6.22B"
"79","FANG","Diamondback Energy, Inc.","43.33B","151.28","0.30%","14.63B"
"80","DDOG","Datadog, Inc.","41.74B","119.02","-1.52%","3.21B"
"81","CTSH","Cognizant Technology Solutions Corporation","40.90B","84.74","-0.09%","20.86B"
"82","MCHP","Microchip Technology Incorporated","40.37B","74.70","0.34%","4.21B"
