No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
"1","NVDA","NVIDIA Corporation","4.56T","187.70","0.35%","187.14B"
"2","GOOG","Alphabet Inc.","4.02T","329.67","-1.05%","385.48B"
"3","GOOGL","Alphabet Inc.","3.97T","329.23","-1.07%","385.48B"
"4","AAPL","Apple Inc.","3.75T","255.21","-1.16%","416.16B"
"5","MSFT","Microsoft Corporation","3.43T","461.11","0.97%","293.81B"
"6","AMZN","Amazon.com, Inc.","2.55T","238.16","-0.01%","691.33B"
"7","AVGO","Broadcom Inc.","1.63T","344.61","0.46%","63.89B"
"8","META","Meta Platforms, Inc.","1.58T","625.00","0.68%","189.46B"
"9","TSLA","Tesla, Inc.","1.46T","437.98","-0.13%","95.63B"
"10","WMT","Walmart Inc.","945.02B","118.57","-0.53%","703.06B"
"11","ASML","ASML Holding N.V.","516.75B","1,353.16","1.62%","37.67B"
"12","COST","Costco Wholesale Corporation","424.47B","956.29","-0.05%","280.39B"
"13","PLTR","Palantir Technologies Inc.","407.21B","170.85","-3.51%","3.90B"
"14","NFLX","Netflix, Inc.","401.84B","87.94","-0.12%","43.38B"
"15","MU","Micron Technology, Inc.","396.93B","352.67","4.76%","42.31B"
"16","AMD","Advanced Micro Devices, Inc.","378.19B","232.30","1.92%","32.03B"
"17","CSCO","Cisco Systems, Inc.","296.85B","75.13","-0.16%","57.70B"
"18","AZN","AstraZeneca PLC","291.69B","93.64","-0.38%","58.13B"
"19","LRCX","Lam Research Corporation","278.22B","221.51","1.86%","19.59B"
"20","AMAT","Applied Materials, Inc.","256.96B","324.06","1.56%","28.37B"
"21","INTC","Intel Corporation","235.43B","47.23","-2.26%","53.44B"
"22","TMUS","T-Mobile US, Inc.","207.42B","185.44","-2.74%","85.85B"
"23","SHOP","Shopify Inc.","204.88B","157.38","-0.39%","10.70B"
"24","KLAC","KLA Corporation","204.55B","1,556.78","0.77%","12.52B"
"25","LIN","Linde plc","204.31B","437.54","-0.57%","33.50B"
"26","PEP","PepsiCo, Inc.","202.18B","146.17","-0.27%","92.37B"
"27","APP","AppLovin Corporation","193.43B","572.36","-5.71%","6.31B"
"28","ISRG","Intuitive Surgical, Inc.","190.23B","536.63","-0.87%","9.61B"
"29","AMGN","Amgen Inc.","177.39B","329.43","-0.18%","35.97B"
"30","TXN","Texas Instruments Incorporated","174.26B","191.79","1.41%","17.27B"
"31","QCOM","QUALCOMM Incorporated","170.74B","160.62","-0.48%","44.28B"
"32","BKNG","Booking Holdings Inc.","167.12B","5,184.47","-0.17%","26.04B"
"33","GILD","Gilead Sciences, Inc.","153.65B","123.84","2.13%","29.09B"
"34","INTU","Intuit Inc.","152.15B","546.77","-1.41%","19.43B"
"35","PDD","PDD Holdings Inc.","151.16B","106.48","-0.91%","58.79B"
"36","ADI","Analog Devices, Inc.","147.60B","301.44","-0.22%","11.02B"
"37","HON","Honeywell International Inc.","139.40B","219.56","2.11%","40.67B"
"38","PANW","Palo Alto Networks, Inc.","131.02B","187.97","0.13%","9.56B"
"39","ADBE","Adobe Inc.","125.11B","298.88","-1.71%","23.77B"
"40","SNY","Sanofi","115.31B","46.68","-1.66%","53.89B"
"41","CRWD","CrowdStrike Holdings, Inc.","115.24B","457.12","0.47%","4.57B"
"42","ARM","Arm Holdings plc","113.47B","106.95","1.75%","4.41B"
"43","VRTX","Vertex Pharmaceuticals Incorporated","112.45B","443.20","0.98%","11.72B"
"44","CEG","Constellation Energy Corporation","110.88B","306.00","-10.32%","24.84B"
"45","SBUX","Starbucks Corporation","105.48B","92.76","-0.56%","37.18B"
"46","ADP","Automatic Data Processing, Inc.","105.08B","259.81","-0.15%","20.90B"
"47","MELI","MercadoLibre, Inc.","104.69B","2,065.00","-1.61%","26.19B"
"48","CMCSA","Comcast Corporation","100.97B","27.71","-2.26%","123.31B"
"49","CME","CME Group Inc.","100.11B","277.63","1.85%","6.39B"
"50","HOOD","Robinhood Markets, Inc.","99.14B","110.26","-0.08%","4.20B"
"51","SNPS","Synopsys, Inc.","98.67B","515.75","1.49%","7.05B"
"52","DASH","DoorDash, Inc.","88.80B","206.03","-1.94%","12.64B"
"53","NTES","NetEase, Inc.","87.59B","137.19","0.80%","15.71B"
"54","MAR","Marriott International, Inc.","87.24B","325.10","-0.21%","6.87B"
"55","CDNS","Cadence Design Systems, Inc.","86.12B","316.40","-1.31%","5.21B"
"56","ORLY","O'Reilly Automotive, Inc.","79.51B","94.20","0.59%","17.46B"
"57","ABNB","Airbnb, Inc.","79.12B","130.49","-1.59%","11.94B"
"58","EQIX","Equinix, Inc.","79.04B","804.97","0.39%","9.08B"
"59","CTAS","Cintas Corporation","77.67B","194.22","-0.70%","10.79B"
"60","MNST","Monster Beverage Corporation","76.09B","77.88","-0.04%","7.98B"
"61","REGN","Regeneron Pharmaceuticals, Inc.","75.41B","735.04","-0.93%","14.25B"
"62","WDC","Western Digital Corporation","74.90B","219.08","-1.36%","10.13B"
"63","MDLZ","Mondelez International, Inc.","73.89B","57.27","-0.06%","37.65B"
"64","WBD","Warner Bros. Discovery, Inc.","71.21B","28.72","0.81%","37.86B"
"65","STX","Seagate Technology Holdings plc","70.57B","323.92","1.12%","9.56B"
"66","MRVL","Marvell Technology, Inc.","68.80B","81.12","0.92%","7.79B"
"67","CSX","CSX Corporation","67.54B","36.27","-0.08%","14.12B"
"68","COIN","Coinbase Global, Inc.","65.06B","241.26","0.83%","7.37B"
"69","AEP","American Electric Power Company, Inc.","63.73B","119.33","-0.06%","21.26B"
