No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
"1","TSM","Taiwan Semiconductor Manufacturing Company Limited","1.43T","342.54","0.26%","121.30B"
"2","BRK.A","Berkshire Hathaway Inc.","1.07T","741,384","0.36%","372.13B"
"3","BRK.B","Berkshire Hathaway Inc.","1.06T","494.46","0.37%","372.13B"
"4","LLY","Eli Lilly and Company","938.79B","1,048.48","1.50%","59.42B"
"5","JPM","JPMorgan Chase & Co.","850.03B","315.27","1.94%","168.24B"
"6","V","Visa Inc.","628.80B","328.83","0.33%","40.00B"
"7","ORCL","Oracle Corporation","549.86B","191.38","0.81%","61.02B"
"8","XOM","Exxon Mobil Corporation","547.89B","129.92","0.61%","326.25B"
"9","JNJ","Johnson & Johnson","526.17B","218.39","-0.54%","92.15B"
"10","MA","Mastercard Incorporated","487.10B","542.43","-0.04%","31.47B"
"11","BAC","Bank of America Corporation","384.71B","53.34","1.43%","107.42B"
"12","ABBV","AbbVie Inc.","379.76B","214.87","-0.87%","59.64B"
"13","HD","The Home Depot, Inc.","377.92B","379.62","0.12%","166.19B"
"14","BABA","Alibaba Group Holding Limited","369.47B","165.26","-3.32%","142.16B"
"15","GE","GE Aerospace","341.97B","324.20","1.33%","43.95B"
"16","PG","The Procter & Gamble Company","336.55B","144.03","-0.42%","84.93B"
"17","CVX","Chevron Corporation","336.10B","166.92","0.46%","188.69B"
"18","KO","The Coca-Cola Company","303.31B","70.51","0.04%","47.66B"
"19","MS","Morgan Stanley","303.24B","191.56","0.17%","70.30B"
"20","GS","The Goldman Sachs Group, Inc.","302.74B","965.00","-1.11%","59.40B"
"21","TM","Toyota Motor Corporation","302.67B","231.74","-0.25%","333.71B"
"22","UNH","UnitedHealth Group Incorporated","302.15B","333.56","-1.59%","435.16B"
"23","CAT","Caterpillar Inc.","300.60B","642.34","-0.75%","64.67B"
"24","IBM","International Business Machines Corporation","285.73B","305.68","2.59%","65.40B"
"25","HSBC","HSBC Holdings plc","282.74B","82.75","-0.10%","57.98B"
"26","SAP","SAP SE","277.97B","234.84","-0.42%","42.82B"
"27","NVS","Novartis AG","276.38B","144.20","0.73%","56.37B"
"28","WFC","Wells Fargo & Company","276.03B","89.26","0.33%","80.04B"
"29","MRK","Merck & Co., Inc.","271.86B","109.53","-1.30%","64.24B"
"30","RTX","RTX Corporation","270.11B","201.46","0.82%","85.99B"
"31","PM","Philip Morris International Inc.","269.83B","173.34","0.45%","39.99B"
"32","AXP","American Express Company","254.30B","369.17","3.30%","65.29B"
"33","NVO","Novo Nordisk A/S","252.12B","61.84","8.26%","49.58B"
"34","RY","Royal Bank of Canada","237.18B","169.14","-0.11%","44.42B"
"35","TMO","Thermo Fisher Scientific Inc.","234.81B","624.99","0.05%","43.74B"
"36","MCD","McDonald's Corporation","218.85B","307.30","-0.43%","26.26B"
"37","CRM","Salesforce, Inc.","215.70B","230.20","-1.43%","40.32B"
"38","MUFG","Mitsubishi UFJ Financial Group, Inc.","214.46B","18.88","1.34%","38.57B"
"39","ABT","Abbott Laboratories","213.29B","122.67","-0.70%","43.84B"
"40","SHEL","Shell plc","210.11B","73.91","0.66%","269.08B"
"41","C","Citigroup Inc.","207.67B","118.84","1.17%","75.72B"
"42","BX","Blackstone Inc.","202.61B","164.83","2.50%","12.79B"
"43","DIS","The Walt Disney Company","199.86B","111.95","-1.29%","94.43B"
"44","BLK","BlackRock, Inc.","190.83B","1,172.16","1.34%","24.22B"
"45","BA","The Boeing Company","187.92B","247.23","-0.21%","80.76B"
"46","APH","Amphenol Corporation","186.89B","152.69","-1.00%","20.97B"
"47","SCHW","The Charles Schwab Corporation","186.29B","104.84","2.02%","22.91B"
"48","GEV","GE Vernova Inc.","185.00B","681.84","6.17%","37.67B"
"49","SAN","Banco Santander, S.A.","179.31B","12.20","0.74%","59.46B"
"50","ACN","Accenture plc","177.63B","288.69","0.32%","70.73B"
"51","TJX","The TJX Companies, Inc.","174.67B","157.29","0.72%","58.98B"
"52","NEE","NextEra Energy, Inc.","174.34B","83.71","1.85%","26.30B"
"53","UBER","Uber Technologies, Inc.","174.12B","83.80","-0.69%","49.61B"
"54","DHR","Danaher Corporation","167.53B","237.18","-1.13%","24.27B"
"55","T","AT&T Inc.","166.96B","23.55","-0.76%","124.48B"
"56","BHP","BHP Group Limited","166.21B","64.93","-1.67%","51.26B"
"57","SPGI","S&P Global Inc.","165.78B","547.49","0.38%","15.01B"
"58","VZ","Verizon Communications Inc.","164.46B","39.01","-0.90%","137.49B"
"59","ANET","Arista Networks, Inc.","163.73B","130.02","-0.44%","8.45B"
"60","HDB","HDFC Bank Limited","158.54B","32.63","0.37%","30.21B"
"61","TD","The Toronto-Dominion Bank","157.93B","94.21","0.15%","45.15B"
"62","LOW","Lowe's Companies, Inc.","155.29B","276.84","-0.06%","84.26B"
"63","COF","Capital One Financial Corporation","154.57B","243.14","2.60%","28.89B"
"64","UBS","UBS Group AG","150.41B","47.51","0.08%","48.19B"
"65","SCCO","Southern Copper Corporation","148.02B","180.71","-1.24%","12.33B"
"66","PFE","Pfizer Inc.","145.98B","25.68","-0.83%","62.79B"
"67","SONY","Sony Group Corporation","145.32B","24.05","-0.29%","88.86B"
"68","RIO","Rio Tinto Group","143.32B","85.11","-1.44%","53.73B"
"69","UL","Unilever PLC","141.74B","64.23","0.02%","70.19B"
"70","TTE","TotalEnergies SE","141.16B","65.88","0.32%","183.53B"
"71","DE","Deere & Company","139.31B","513.92","-0.22%","45.63B"
"72","SYK","Stryker Corporation","138.79B","362.92","0.12%","24.38B"
"73","BBVA","Banco Bilbao Vizcaya Argentaria, S.A.","138.21B","24.32","0.93%","37.12B"
"74","UNP","Union Pacific Corporation","136.75B","230.55","0.02%","24.55B"
"75","SMFG","Sumitomo Mitsui Financial Group, Inc.","135.91B","21.32","-0.19%","23.14B"
"76","BUD","Anheuser-Busch InBev SA/NV","134.33B","68.49","-0.33%","58.61B"
"77","LMT","Lockheed Martin Corporation","134.23B","580.10","0.38%","73.35B"
"78","ETN","Eaton Corporation plc","133.97B","344.93","3.44%","26.63B"
"79","NOW","ServiceNow, Inc.","133.87B","129.04","-1.62%","12.67B"
"80","BSX","Boston Scientific Corporation","131.75B","88.84","-1.32%","19.35B"
"81","WELL","Welltower Inc.","131.61B","191.77","1.91%","9.91B"
"82","PLD","Prologis, Inc.","127.89B","134.45","1.28%","9.10B"
"83","BTI","British American Tobacco p.l.c.","126.15B","58.07","-0.03%","35.07B"
"84","MDT","Medtronic plc","125.36B","97.78","-1.23%","34.76B"
"85","NEM","Newmont Corporation","124.06B","113.97","-0.21%","21.50B"
"86","COP","ConocoPhillips","120.92B","97.85","-1.09%","61.28B"
"87","PH","Parker-Hannifin Corporation","119.00B","943.02","-0.17%","20.03B"
"88","PGR","The Progressive Corporation","118.91B","202.78","-0.36%","85.17B"
"89","CB","Chubb Limited","118.53B","301.17","0.02%","58.84B"
"90","KKR","KKR & Co. Inc.","118.40B","132.83","1.15%","22.25B"
"91","BMY","Bristol-Myers Squibb Company","113.11B","55.56","-1.87%","48.03B"
"92","IBN","ICICI Bank Limited","111.68B","31.14","1.02%","21.49B"
"93","HCA","HCA Healthcare, Inc.","107.65B","471.75","-2.49%","74.37B"
"94","MFG","Mizuho Financial Group, Inc.","107.05B","8.60","1.24%","26.75B"
"95","BN","Brookfield Corporation","106.19B","47.31","-0.04%","76.93B"
"96","SPOT","Spotify Technology S.A.","103.92B","504.24","-0.75%","19.83B"
"97","MO","Altria Group, Inc.","103.66B","61.75","0.28%","20.17B"
"98","MCK","McKesson Corporation","103.64B","839.68","-0.53%","387.09B"
"99","ENB","Enbridge Inc.","102.26B","47.35","1.15%","46.12B"
"100","CVS","CVS Health Corporation","100.41B","79.10","-2.78%","391.69B"
"101","CVNA","Carvana Co.","99.52B","454.40","-1.41%","18.27B"
"102","GD","General Dynamics Corporation","99.39B","368.51","0.36%","51.51B"
"103","ICE","Intercontinental Exchange, Inc.","99.31B","174.17","0.51%","9.75B"
"104","GSK","GSK plc","99.28B","48.55","-1.16%","43.24B"
"105","AEM","Agnico Eagle Mines Limited","98.90B","197.00","-1.71%","10.57B"
"106","SO","The Southern Company","98.09B","89.08","0.34%","28.91B"
"107","SOMN","The Southern Company","97.76B","50.16","-0.22%","28.91B"
"108","MCO","Moody's Corporation","96.23B","539.43","-0.03%","7.50B"
"109","BMO","Bank of Montreal","96.11B","136.82","1.45%","23.30B"
"110","NOC","Northrop Grumman Corporation","95.12B","666.48","1.81%","40.93B"
"111","NKE","NIKE, Inc.","94.92B","64.12","-0.73%","46.51B"
"112","DUK","Duke Energy Corporation","92.48B","118.92","0.02%","31.24B"
"113","UPS","United Parcel Service, Inc.","91.09B","107.37","-1.15%","89.48B"
"114","BNS","The Bank of Nova Scotia","90.90B","73.56","0.01%","22.58B"
"115","MMM","3M Company","90.61B","170.57","-0.31%","24.83B"
"116","BP","BP p.l.c.","90.39B","35.42","0.77%","185.93B"
"117","HWM","Howmet Aerospace Inc.","90.28B","224.54","0.12%","7.98B"
"118","MRSH","Marsh & McLennan Companies, Inc.","89.37B","182.43","0.09%","26.45B"
"119","BCS","Barclays PLC","89.11B","26.29","1.51%","34.97B"
"120","WM","Waste Management, Inc.","89.05B","221.05","0.54%","24.78B"
"121","SHW","The Sherwin-Williams Company","88.04B","357.22","0.31%","23.28B"
"122","PNC","The PNC Financial Services Group, Inc.","87.71B","223.65","4.00%","21.80B"
"123","TT","Trane Technologies plc","86.35B","389.40","0.55%","21.05B"
"124","AMT","American Tower Corporation","85.51B","182.66","0.61%","10.45B"
"125","USB","U.S. Bancorp","85.44B","54.97","1.88%","26.01B"
"126","CM","Canadian Imperial Bank of Commerce","85.25B","92.75","0.77%","19.12B"
