No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
"1","TCEHY","Tencent Holdings Limited","713.29B","78.60","-1.97%","102.52B"
"2","TCTZF","Tencent Holdings Limited","713.29B","78.45","-4.97%","102.52B"
"3","SSNLF","Samsung Electronics Co., Ltd.","661.96B","65.21","54.05%","224.63B"
"4","ASMLF","ASML Holding N.V.","522.87B","1,351.80","1.96%","37.67B"
"5","RHHBF","Roche Holding AG","371.17B","424.00","0.12%","79.83B"
"6","RHHBY","Roche Holding AG","371.17B","54.25","0.24%","79.83B"
"7","RHHVF","Roche Holding AG","371.17B","441.45","4.45%","79.83B"
"8","BABAF","Alibaba Group Holding Limited","369.78B","21.07","-1.45%","142.16B"
"9","IDCBF","Industrial and Commercial Bank of China Limited","365.11B","0.848","8.76%","94.82B"
"10","IDCBY","Industrial and Commercial Bank of China Limited","365.11B","16.16","-0.31%","94.82B"
"11","ACGBF","Agricultural Bank of China Limited","352.24B","0.672","-1.78%","83.48B"
"12","ACGBY","Agricultural Bank of China Limited","352.24B","17.75","-1.00%","83.48B"
"13","LVMHF","LVMH Moët Hennessy - Louis Vuitton, Société Européenne","351.22B","701.80","-3.92%","97.26B"
"14","LVMUY","LVMH Moët Hennessy - Louis Vuitton, Société Européenne","351.22B","141.38","-2.14%","97.26B"
"15","TOYOF","Toyota Motor Corporation","302.67B","23.68","1.73%","333.71B"
"16","AZNCF","AstraZeneca PLC","291.69B","191.13","1.21%","58.13B"
"17","HBCYF","HSBC Holdings plc","282.74B","16.23","-1.46%","57.98B"
"18","NVSEF","Novartis AG","276.38B","140.22","-4.67%","56.37B"
"19","SAPGF","SAP SE","273.08B","233.29","-0.89%","42.82B"
"20","CICHF","China Construction Bank Corporation","268.57B","1.002","-0.79%","84.79B"
"21","CICHY","China Construction Bank Corporation","268.57B","19.98","-0.99%","84.79B"
"22","NONOF","Novo Nordisk A/S","268.23B","62.50","11.27%","49.58B"
"23","HESAF","Hermès International Société en commandite par actions","266.32B","2,534.22","-2.12%","18.44B"
"24","HESAY","Hermès International Société en commandite par actions","266.32B","254.91","-1.20%","18.44B"
"25","PCCYF","PetroChina Company Limited","249.99B","1.060","-3.64%","400.26B"
"26","NSRGF","Nestlé S.A.","241.20B","93.61","-1.73%","114.30B"
"27","NSRGY","Nestlé S.A.","241.20B","93.87","-0.97%","114.30B"
