No.,Symbol,Company Name,Stock Price,% Change,Div. Yield,Market Cap
"1","WELL","Welltower Inc.","191.38","1.70%","1.55%","131.35B"
"2","PLD","Prologis, Inc.","133.21","0.35%","3.03%","126.71B"
"3","AMT","American Tower Corporation","183.57","1.11%","3.70%","85.94B"
"4","EQIX","Equinix, Inc.","801.78","-","2.34%","78.72B"
"5","SPG","Simon Property Group, Inc.","184.92","1.43%","4.76%","69.52B"
"6","DLR","Digital Realty Trust, Inc.","163.60","1.89%","2.98%","57.21B"
"7","O","Realty Income Corporation","61.42","1.15%","5.28%","56.67B"
"8","PSA","Public Storage","293.89","0.29%","4.08%","51.71B"
"9","CCI","Crown Castle Inc.","90.87","0.51%","4.68%","39.57B"
"10","VTR","Ventas, Inc.","78.45","1.99%","2.45%","37.12B"
"11","EXR","Extra Space Storage Inc.","148.87","1.18%","4.35%","32.99B"
"12","VICI","VICI Properties Inc.","28.98","1.97%","6.21%","30.97B"
"13","IRM","Iron Mountain Incorporated","95.93","3.52%","3.60%","28.36B"
"14","AVB","AvalonBay Communities, Inc.","182.42","0.90%","3.84%","25.80B"
"15","EQR","Equity Residential","62.04","1.42%","4.46%","24.20B"
"16","SBAC","SBA Communications Corporation","194.11","1.10%","2.29%","20.68B"
"17","WY","Weyerhaeuser Company","27.06","0.97%","3.10%","19.51B"
"18","ESS","Essex Property Trust, Inc.","258.27","1.87%","3.98%","17.22B"
"19","INVH","Invitation Homes Inc.","27.65","2.18%","4.34%","17.01B"
"20","NLY","Annaly Capital Management, Inc.","24.40","2.39%","11.48%","16.67B"
"21","SUI","Sun Communities, Inc.","130.22","2.21%","3.19%","16.47B"
"22","MAA","Mid-America Apartment Communities, Inc.","137.09","1.22%","4.46%","16.45B"
"23","WPC","W. P. Carey Inc.","70.26","1.94%","5.24%","15.40B"
"24","KIM","Kimco Realty Corporation","21.06","1.35%","4.94%","14.29B"
"25","OHI","Omega Healthcare Investors, Inc.","44.72","0.54%","5.99%","13.71B"
"26","AMH","American Homes 4 Rent","32.36","2.02%","3.71%","13.65B"
"27","UDR","UDR, Inc.","37.64","1.51%","4.57%","13.64B"
"28","GLPI","Gaming and Leisure Properties, Inc.","46.34","2.93%","6.73%","13.50B"
"29","LAMR","Lamar Advertising Company","132.27","-0.39%","4.88%","13.40B"
"30","REG","Regency Centers Corporation","71.47","2.32%","4.23%","13.31B"
"31","HST","Host Hotels & Resorts, Inc.","18.59","0.65%","5.11%","12.95B"
"32","AGNC","AGNC Investment Corp.","11.93","2.14%","12.07%","12.80B"
"33","ELS","Equity LifeStyle Properties, Inc.","63.60","2.37%","3.24%","12.74B"
"34","DOC","Healthpeak Properties, Inc.","17.83","1.60%","6.84%","12.62B"
"35","AGNCM","AGNC Investment Corp.","24.83","-0.08%","8.97%","12.18B"
"36","BXP","BXP, Inc.","67.95","1.25%","4.12%","12.02B"
"37","CPT","Camden Property Trust","109.50","1.06%","3.84%","11.83B"
"38","EGP","EastGroup Properties, Inc.","187.96","0.80%","3.30%","10.01B"
"39","ARE","Alexandria Real Estate Equities, Inc.","57.89","1.10%","8.08%","10.00B"
"40","REXR","Rexford Industrial Realty, Inc.","41.00","-0.07%","4.20%","9.86B"
"41","LINE","Lineage, Inc.","36.34","-0.33%","5.81%","9.22B"
"42","CUBE","CubeSmart","39.61","1.20%","5.35%","9.08B"
"43","FRT","Federal Realty Investment Trust","103.67","1.84%","4.36%","9.00B"
"44","AHR","American Healthcare REIT, Inc.","48.01","0.06%","2.08%","8.65B"
"45","CTRE","CareTrust REIT, Inc.","37.76","0.77%","3.55%","8.43B"
"46","ADC","Agree Realty Corporation","73.19","1.64%","4.30%","8.42B"
"47","FR","First Industrial Realty Trust, Inc.","59.90","0.99%","2.97%","8.18B"
"48","BRX","Brixmor Property Group Inc.","26.67","2.30%","4.61%","8.16B"
"49","NNN","NNN REIT, Inc.","42.64","1.02%","5.63%","8.10B"
"50","STAG","STAG Industrial, Inc.","37.88","1.18%","4.09%","7.13B"
"51","VNO","Vornado Realty Trust","33.65","0.03%","2.20%","7.02B"
"52","STWD","Starwood Property Trust, Inc.","18.56","1.14%","10.34%","6.87B"
"53","RITM","Rithm Capital Corp.","11.76","3.61%","8.50%","6.52B"
"54","TRNO","Terreno Realty Corporation","62.66","2.22%","3.32%","6.48B"
"55","HR","Healthcare Realty Trust Incorporated","17.26","0.70%","5.56%","6.15B"
"56","EPRT","Essential Properties Realty Trust, Inc.","30.83","0.95%","4.02%","6.13B"
"57","RHP","Ryman Hospitality Properties, Inc.","94.83","0.14%","5.06%","5.94B"
"58","KRG","Kite Realty Group Trust","23.63","1.24%","4.91%","5.23B"
"59","MRP","Millrose Properties, Inc.","31.02","1.57%","9.67%","5.15B"
"60","MAC","The Macerich Company","18.74","2.29%","3.63%","5.00B"
"61","PECO","Phillips Edison & Company, Inc.","35.80","1.53%","3.50%","4.96B"
"62","SBRA","Sabra Health Care REIT, Inc.","19.24","1.00%","6.24%","4.80B"
"63","CUZ","Cousins Properties Incorporated","26.99","0.52%","4.74%","4.53B"
"64","KRC","Kilroy Realty Corporation","37.70","-1.36%","5.73%","4.50B"
"65","NSA","National Storage Affiliates Trust","33.80","0.78%","6.75%","4.34B"
"66","EPR","EPR Properties","55.90","2.03%","6.33%","4.26B"
"67","IRT","Independence Realty Trust, Inc.","17.26","1.05%","3.94%","4.22B"
"68","OUT","OUTFRONT Media Inc.","25.20","3.11%","4.76%","4.21B"
"69","SKT","Tanger Inc.","33.62","0.39%","3.48%","4.03B"
"70","COLD","Americold Realty Trust, Inc.","13.56","1.04%","6.78%","3.86B"
"71","RYN","Rayonier Inc.","24.65","2.24%","11.72%","3.83B"
"72","NHI","National Health Investors, Inc.","80.17","-0.32%","4.59%","3.82B"
"73","BNL","Broadstone Net Lease, Inc.","18.71","0.92%","6.20%","3.70B"
"74","SLG","SL Green Realty Corp.","48.57","-0.10%","6.36%","3.69B"
"75","CDP","COPT Defense Properties","30.84","2.15%","3.96%","3.56B"
"76","PCH","PotlatchDeltic Corporation","45.39","2.05%","3.97%","3.51B"
"77","BXMT","Blackstone Mortgage Trust, Inc.","19.62","0.62%","9.58%","3.32B"
"78","MPW","Medical Properties Trust, Inc.","5.20","0.78%","6.35%","3.13B"
"79","HIW","Highwoods Properties, Inc.","27.54","1.25%","7.26%","3.08B"
"80","LXP","LXP Industrial Trust","51.28","1.79%","5.46%","3.03B"
"81","APLE","Apple Hospitality REIT, Inc.","12.38","-0.40%","8.16%","2.93B"
"82","AKR","Acadia Realty Trust","21.05","0.43%","3.80%","2.87B"
"83","FCPT","Four Corners Property Trust, Inc.","24.80","-0.44%","5.91%","2.63B"
"84","CURB","Curbline Properties Corp.","24.57","2.46%","2.73%","2.59B"
"85","UE","Urban Edge Properties","18.96","1.61%","4.01%","2.51B"
"86","PK","Park Hotels & Resorts Inc.","11.42","-0.61%","8.76%","2.28B"
"87","DEI","Douglas Emmett, Inc.","11.12","1.37%","6.83%","2.26B"
"88","IVT","InvenTrust Properties Corp.","29.07","1.40%","3.27%","2.26B"
"89","DX","Dynex Capital, Inc.","14.65","2.73%","13.92%","2.15B"
"90","ARR","ARMOUR Residential REIT, Inc.","19.12","1.59%","15.06%","2.14B"
"91","GNL","Global Net Lease, Inc.","9.47","2.38%","8.03%","2.07B"
"92","SMA","SmartStop Self Storage REIT, Inc.","33.64","-0.68%","4.28%","1.98B"
"93","DRH","DiamondRock Hospitality Company","9.31","0.11%","3.44%","1.91B"
"94","ESRT","Empire State Realty Trust, Inc.","6.58","2.81%","2.13%","1.83B"
"95","ESBA","Empire State Realty OP, L.P.","6.50","8.15%","2.15%","1.81B"
"96","UNIT","Uniti Group Inc.","7.51","0.13%","-","1.80B"
"97","LTC","LTC Properties, Inc.","36.92","1.54%","6.18%","1.76B"
"98","ABR","Arbor Realty Trust, Inc.","8.27","0.73%","14.51%","1.75B"
"99","SHO","Sunstone Hotel Investors, Inc.","9.14","-0.33%","3.94%","1.74B"
"100","GTY","Getty Realty Corp.","30.04","-0.36%","6.46%","1.73B"
"101","EFC","Ellington Financial Inc.","14.01","1.16%","11.13%","1.57B"
"102","NTST","NETSTREIT Corp.","18.45","1.32%","4.66%","1.55B"
"103","VRE","Veris Residential, Inc.","14.91","0.34%","2.15%","1.52B"
"104","ALEX","Alexander & Baldwin, Inc.","20.85","0.10%","6.71%","1.52B"
"105","ORC","Orchid Island Capital, Inc.","8.33","2.59%","17.29%","1.49B"
"106","XHR","Xenia Hotels & Resorts, Inc.","14.67","-1.34%","3.82%","1.48B"
"107","TWO","Two Harbors Investment Corp.","14.10","5.62%","9.65%","1.47B"
"108","DHC","Diversified Healthcare Trust","5.92","7.64%","0.68%","1.43B"
"109","LADR","Ladder Capital Corp","11.19","0.54%","8.22%","1.42B"
"110","IIPR","Innovative Industrial Properties, Inc.","50.54","-0.53%","15.04%","1.42B"
"111","UMH","UMH Properties, Inc.","16.60","1.10%","5.42%","1.41B"
